treatment,n_images,mean_ld_count,median_ld_count,mean_ld_area,mean_ld_intensity,mean_ld_integrated_intensity
72-KLH45,12,89.75,67.0,52.5606035940535,7304.739196150309,437833.81578923174
72-KLH45-100nMTg,14,23.5,15.0,55.15207773526401,6145.705875694622,376158.62309455255
72-noKLH45,8,0.125,0.0,4.25,556.5,18921.0
WT-KLH45,15,39.06666666666667,35.0,50.09657330326517,4831.502280983874,276265.807325489
WT-KLH45-100nMTg,9,0.3333333333333333,0.0,4.148148148148149,437.427697611031,16286.85185185185
WT-noKLH45,5,0.2,0.0,5.8,903.8413793103448,26211.399999999998
